_ws.col.Time,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq_raw,tcp.ack_raw,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr
"20:31:46.239932","60","47.83.255.41","80","100.64.0.5","44024","0","1931497185","2581654334","1542864338","3222006952"
"20:31:46.359637","52","47.83.255.41","80","100.64.0.5","44024","0","1931497186","2581654481","1542864457","3222007081"
"20:31:46.379721","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931497186","2581654481","1542864457","3222007081"
"20:31:46.399816","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931498634","2581654481","1542864457","3222007081"
"20:31:46.419907","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931500082","2581654481","1542864457","3222007081"
"20:31:46.439994","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931501530","2581654481","1542864457","3222007081"
"20:31:46.459081","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931502978","2581654481","1542864457","3222007081"
"20:31:46.499857","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931511666","2581654481","1542864598","3222007220"
"20:31:46.519947","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931513114","2581654481","1542864617","3222007241"
"20:31:46.539108","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931514562","2581654481","1542864638","3222007261"
"20:31:46.559125","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931516010","2581654481","1542864657","3222007281"
"20:31:46.579213","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931517458","2581654481","1542864677","3222007300"
"20:31:46.619123","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931518906","2581654481","1542864717","3222007341"
"20:31:46.639127","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931520354","2581654481","1542864738","3222007361"
"20:31:46.659248","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931504426","2581654481","1542864757","3222007380"
"20:31:46.679279","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931521802","2581654481","1542864777","3222007400"
"20:31:46.699359","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931523250","2581654481","1542864797","3222007420"
"20:31:46.739238","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931524698","2581654481","1542864837","3222007460"
"20:31:46.759332","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931526146","2581654481","1542864857","3222007480"
"20:31:46.779377","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931505874","2581654481","1542864877","3222007500"
"20:31:46.799466","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931527594","2581654481","1542864882","3222007500"
"20:31:46.819540","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931529042","2581654481","1542864897","3222007520"
"20:31:46.839627","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931530490","2581654481","1542864918","3222007540"
"20:31:46.859416","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931531938","2581654481","1542864957","3222007580"
"20:31:46.879612","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931533386","2581654481","1542864978","3222007600"
"20:31:46.899596","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931507322","2581654481","1542864998","3222007620"
"20:31:46.919592","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931534834","2581654481","1542865001","3222007620"
"20:31:46.939336","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931536282","2581654481","1542865018","3222007640"
"20:31:46.959500","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931537730","2581654481","1542865038","3222007660"
"20:31:46.979549","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931539178","2581654481","1542865057","3222007680"
"20:31:46.999953","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931540626","2581654481","1542865078","3222007700"
"20:31:47.019351","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931542074","2581654481","1542865098","3222007720"
"20:31:47.039567","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931508770","2581654481","1542865118","3222007740"
"20:31:47.059810","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931543522","2581654481","1542865120","3222007740"
"20:31:47.079292","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931544970","2581654481","1542865137","3222007760"
"20:31:47.099382","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931546418","2581654481","1542865158","3222007780"
"20:31:47.119710","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931547866","2581654481","1542865178","3222007800"
"20:31:47.139732","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931549314","2581654481","1542865197","3222007820"
"20:31:47.159400","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931550762","2581654481","1542865219","3222007841"
"20:31:47.179315","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931552210","2581654481","1542865238","3222007860"
"20:31:47.199696","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931510218","2581654481","1542865258","3222007880"
"20:31:47.219856","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931553658","2581654481","1542865260","3222007880"
"20:31:47.239348","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931555106","2581654481","1542865277","3222007901"
"20:31:47.259326","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931556554","2581654481","1542865297","3222007920"
"20:31:47.279711","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931558002","2581654481","1542865318","3222007940"
"20:31:47.299308","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931559450","2581654481","1542865338","3222007960"
"20:31:47.319399","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931560898","2581654481","1542865357","3222007980"
"20:31:47.339280","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931562346","2581654481","1542865377","3222008000"
"20:31:47.359709","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931563794","2581654481","1542865398","3222008020"
"20:31:47.379344","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931566690","2581654481","1542865417","3222008040"
"20:31:47.399336","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931565242","2581654481","1542865417","3222008040"
"20:31:47.419339","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931568138","2581654481","1542865438","3222008061"
"20:31:47.439638","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931569586","2581654481","1542865457","3222008080"
"20:31:47.459370","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931571034","2581654481","1542865478","3222008100"
"20:31:47.479308","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931572482","2581654481","1542865497","3222008120"
"20:31:47.499315","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931573930","2581654481","1542865517","3222008140"
"20:31:47.519625","1500","47.83.255.41","80","100.64.0.5","44024","1448","1931575378","2581654481","1542865537","3222008160"
